,condition1,condition2,timepoint_1,iptg_1,cuminic_acid_1,vanillic_acid_1,xylose_1,timepoint_2,iptg_2,cuminic_acid_2,vanillic_acid_2,xylose_2,comparison
89,"18, 1, 0, 0, 0","5, 0, 1, 0, 0",5,0,1,0,0,18,1,0,0,0,0.0801980198019802
90,"5, 0, 1, 0, 0","18, 1, 1, 0, 0",5,0,1,0,0,18,1,1,0,0,0.07225433526011561
91,"18, 1, 1, 0, 0","5, 0, 1, 0, 0",5,0,1,0,0,18,1,1,0,0,0.07225433526011561
92,"5, 1, 0, 0, 0","5, 1, 0, 0, 0",5,1,0,0,0,5,1,0,0,0,1.0
94,"5, 1, 0, 0, 0","5, 1, 0, 1, 0",5,1,0,0,0,5,1,0,1,0,0.13675213675213677
95,"5, 1, 0, 1, 0","5, 1, 0, 0, 0",5,1,0,0,0,5,1,0,1,0,0.13675213675213677
96,"5, 1, 0, 0, 0","5, 1, 1, 0, 0",5,1,0,0,0,5,1,1,0,0,0.12077294685990338
97,"5, 1, 1, 0, 0","5, 1, 0, 0, 0",5,1,0,0,0,5,1,1,0,0,0.12077294685990338
98,"5, 1, 0, 0, 0","18, 0, 0, 0, 0",5,1,0,0,0,18,0,0,0,0,0.13209393346379647
99,"18, 0, 0, 0, 0","5, 1, 0, 0, 0",5,1,0,0,0,18,0,0,0,0,0.13209393346379647
100,"5, 1, 0, 0, 0","18, 0, 0, 0, 1",5,1,0,0,0,18,0,0,0,1,0.1324828263002944
101,"18, 0, 0, 0, 1","5, 1, 0, 0, 0",5,1,0,0,0,18,0,0,0,1,0.1324828263002944
102,"5, 1, 0, 0, 0","18, 0, 0, 1, 0",5,1,0,0,0,18,0,0,1,0,0.11880261927034612
103,"18, 0, 0, 1, 0","5, 1, 0, 0, 0",5,1,0,0,0,18,0,0,1,0,0.11880261927034612
104,"5, 1, 0, 0, 0","18, 0, 1, 0, 0",5,1,0,0,0,18,0,1,0,0,0.13214620431115276
105,"18, 0, 1, 0, 0","5, 1, 0, 0, 0",5,1,0,0,0,18,0,1,0,0,0.13214620431115276
106,"5, 1, 0, 0, 0","18, 1, 0, 0, 0",5,1,0,0,0,18,1,0,0,0,0.1292517006802721
107,"18, 1, 0, 0, 0","5, 1, 0, 0, 0",5,1,0,0,0,18,1,0,0,0,0.1292517006802721
108,"5, 1, 0, 0, 0","18, 1, 1, 0, 0",5,1,0,0,0,18,1,1,0,0,0.12654614652711704
109,"18, 1, 1, 0, 0","5, 1, 0, 0, 0",5,1,0,0,0,18,1,1,0,0,0.12654614652711704
110,"5, 1, 0, 1, 0","5, 1, 0, 1, 0",5,1,0,1,0,5,1,0,1,0,1.0
112,"5, 1, 0, 1, 0","5, 1, 1, 0, 0",5,1,0,1,0,5,1,1,0,0,0.16883116883116883
113,"5, 1, 1, 0, 0","5, 1, 0, 1, 0",5,1,0,1,0,5,1,1,0,0,0.16883116883116883
114,"5, 1, 0, 1, 0","18, 0, 0, 0, 0",5,1,0,1,0,18,0,0,0,0,0.041025641025641026
115,"18, 0, 0, 0, 0","5, 1, 0, 1, 0",5,1,0,1,0,18,0,0,0,0,0.041025641025641026
116,"5, 1, 0, 1, 0","18, 0, 0, 0, 1",5,1,0,1,0,18,0,0,0,1,0.03582395087001024
117,"18, 0, 0, 0, 1","5, 1, 0, 1, 0",5,1,0,1,0,18,0,0,0,1,0.03582395087001024
118,"5, 1, 0, 1, 0","18, 0, 0, 1, 0",5,1,0,1,0,18,0,0,1,0,0.03842364532019704
119,"18, 0, 0, 1, 0","5, 1, 0, 1, 0",5,1,0,1,0,18,0,0,1,0,0.03842364532019704
120,"5, 1, 0, 1, 0","18, 0, 1, 0, 0",5,1,0,1,0,18,0,1,0,0,0.041015625
121,"18, 0, 1, 0, 0","5, 1, 0, 1, 0",5,1,0,1,0,18,0,1,0,0,0.041015625
122,"5, 1, 0, 1, 0","18, 1, 0, 0, 0",5,1,0,1,0,18,1,0,0,0,0.038696537678207736
123,"18, 1, 0, 0, 0","5, 1, 0, 1, 0",5,1,0,1,0,18,1,0,0,0,0.038696537678207736
124,"5, 1, 0, 1, 0","18, 1, 1, 0, 0",5,1,0,1,0,18,1,1,0,0,0.03475670307845084
125,"18, 1, 1, 0, 0","5, 1, 0, 1, 0",5,1,0,1,0,18,1,1,0,0,0.03475670307845084
126,"5, 1, 1, 0, 0","5, 1, 1, 0, 0",5,1,1,0,0,5,1,1,0,0,1.0
128,"5, 1, 1, 0, 0","18, 0, 0, 0, 0",5,1,1,0,0,18,0,0,0,0,0.021875
