"logFC" "logCPM" "F" "PValue" "FDR"
"amhx" -3.96892470689916 7.96819676631101 890.887563706021 0.00000000000000000000000000000463424420867894 0.0000000000000000000000000164932751386883
"srfad" -3.47325704852315 12.2795304695416 830.356941677008 0.0000000000000000000000000000191876395394466 0.0000000000000000000000000338616762434174
"dppa" -3.77668791240678 7.87972790067232 814.151179056115 0.0000000000000000000000000000285431381652858 0.0000000000000000000000000338616762434174
"srfac" -3.34826978594023 14.3264923441534 728.255687677569 0.000000000000000000000000000267928777744971 0.00000000000000000000000020539763535413
"appd" -4.25724340966905 7.65256117392632 718.797253618566 0.00000000000000000000000000034808078054294 0.00000000000000000000000020539763535413
"appc" -4.54397150376222 8.04349659174262 711.597932147845 0.000000000000000000000000000425740894948121 0.00000000000000000000000020539763535413
"appf" -4.36142728703517 8.12612530747406 711.539773319079 0.000000000000000000000000000426437459129815 0.00000000000000000000000020539763535413
"dppb" -3.96644068872225 7.97545665485731 708.718895387606 0.000000000000000000000000000461697410180681 0.00000000000000000000000020539763535413
"appb" -4.35232355587553 7.7870912191603 690.834081140374 0.0000000000000000000000000007694364749315 0.000000000000000000000000304269379364579
"yxbb" -5.79009847864229 9.53526702175598 641.365490648579 0.00000000000000000000000000338177469485329 0.00000000000000000000000112038968806865
"srfab" -3.07395071357533 15.7129217311026 640.601668608303 0.0000000000000000000000000034628509605943 0.00000000000000000000000112038968806865
"appan" -3.79567692512916 8.18396891376066 619.339812160488 0.00000000000000000000000000676966151377944 0.00000000000000000000000200776877729509
"appac" -3.79469407176914 9.68460780821997 607.259922819102 0.0000000000000000000000000100040815286633 0.00000000000000000000000271147957524526
"dppc" -4.53120605310607 8.06601318955078 605.29909377998 0.0000000000000000000000000106661180256908 0.00000000000000000000000271147957524526
"argh" -7.71632868749976 10.941777786487 584.578772943833 0.0000000000000000000000000212495125961453 0.00000000000000000000000504180102197874
"dppe" -4.07778124183922 9.37573394783527 570.593391107444 0.0000000000000000000000000342806689796745 0.00000000000000000000000762530630616635
"sndc" -2.50234842072251 8.05894891717437 568.089029368222 0.0000000000000000000000000373889143370073 0.00000000000000000000000782747918384759
"argj" -8.95260120221537 10.3362251592895 560.743320826788 0.0000000000000000000000000483286446166275 0.00000000000000000000000955564701058763
"argc" -8.48069038196151 8.60914192922191 555.591608712877 0.0000000000000000000000000579681874281707 0.0000000000000000000000108583567924663
"flot" -2.76705323368773 11.4596076992572 512.024531559126 0.000000000000000000000000288255199906734 0.0000000000000000000000512950128234032
"argf" -10.0816852516075 10.4402150676898 510.609358418649 0.00000000000000000000000030430838312302 0.0000000000000000000000515730255016586
"cara" -10.772849596959 10.2961573819967 475.154974282378 0.00000000000000000000000124038942192274 0.000000000000000000000200661179664684
"apre" -2.83231938222178 6.74079838560839 470.959857868982 0.00000000000000000000000147408046144265 0.000000000000000000000228097928794539
"argb" -9.61823177139419 9.46021354206868 466.963102576017 0.00000000000000000000000173985535741802 0.000000000000000000000258006050710448
"ytzd" -7.52123040185008 6.95622542689194 448.823514066867 0.00000000000000000000000375435501109596 0.000000000000000000000524150626449034
"carb" -10.5753542035327 11.8188274906617 448.366933486776 0.00000000000000000000000382914197462065 0.000000000000000000000524150626449034
"dppd" -3.87954969334875 8.63749621925764 445.816891776338 0.00000000000000000000000427652930577554 0.000000000000000000000560135893934036
"nupq" -3.23062820458611 6.216114851853 445.126707407834 0.00000000000000000000000440680107618798 0.000000000000000000000560135893934036
"xkdg" -4.01737932230552 5.83899864452211 435.012516982366 0.00000000000000000000000687463090577978 0.00000000000000000000084368315150587
"argg" -7.52199048767374 10.737089164839 432.360385053106 0.00000000000000000000000773694673173 0.000000000000000000000876962583148383
"yxbc" -4.87439880222425 8.65984176200527 432.039502228079 0.00000000000000000000000784871119745011 0.000000000000000000000876962583148383
"srfaa" -2.87700237095174 15.4610025405311 431.936273142934 0.00000000000000000000000788502463072443 0.000000000000000000000876962583148383
"srft" -2.49792010186156 7.32904447665139 428.596438638302 0.00000000000000000000000916008774472017 0.000000000000000000000987901584347244
"argd" -10.1253810455802 10.495746474608 415.626022760182 0.000000000000000000000016564227709078 0.00000000000000000000173388489460613
"nupp" -3.35786106297822 5.51193922886989 413.81286952097 0.0000000000000000000000180184042223348 0.00000000000000000000183221430363685
"artr" -4.99829653626822 8.4524390796068 401.770927801651 0.0000000000000000000000317824929564095 0.00000000000000000000314205256755171
"artq" -4.74184828972067 7.03037273822698 375.527446738901 0.000000000000000000000115716862147079 0.0000000000000000000110165345592389
"alss" -3.67645097249595 9.36790350617068 375.205414283939 0.000000000000000000000117625263627726 0.0000000000000000000110165345592389
"yxal" -2.06609323866146 8.28931625282701 366.411987615243 0.000000000000000000000184771537812265 0.0000000000000000000168615872583039
"yuai" -2.56004671618505 9.75806264265382 365.480910523352 0.000000000000000000000193932093557991 0.0000000000000000000172551080243223
"nupn" -3.10471675456269 7.69352414836248 364.719611563689 0.000000000000000000000201775371805769 0.0000000000000000000175150865428471
"urec" -3.19091124708647 8.65883031871894 360.486053705017 0.000000000000000000000251890978080722 0.0000000000000000000213447616902212
"nupo" -3.4637085959703 6.13318780729997 347.660545824823 0.000000000000000000000500506152772705 0.0000000000000000000414256139004199
"alsd" -3.4378240483904 8.29540153695756 345.495395789003 0.00000000000000000000056327254510865 0.0000000000000000000455610679100383
"ycga" -2.83142046823413 6.42670424352105 330.496229112504 0.00000000000000000000130094028882482 0.000000000000000000102889921953945
"hisf" -3.1064163843273 6.33526713432521 324.262007764684 0.00000000000000000000186077737750018 0.000000000000000000143967536663547
"purb" 2.16132837194265 9.88047081934236 320.260445330086 0.00000000000000000000234892217547192 0.000000000000000000177868383457544
"yusyc" -1.74478718671403 7.86542384249706 309.626117661007 0.00000000000000000000441862514413131 0.000000000000000000327622643499236
"hisa" -3.20373646496691 6.50825597758253 307.183700461347 0.00000000000000000000512257318599913 0.000000000000000000372066080999406
"yhjb" -2.4362888165617 6.49329289952824 305.88909908815 0.00000000000000000000554243577793401 0.000000000000000000394510578673343
"ynfcn" -2.62230878374163 8.90875633811526 303.895041332702 0.00000000000000000000626106565999231 0.000000000000000000436924170272797
"opuaa" 1.83026464659792 7.72152672326596 302.683052129717 0.00000000000000000000674496284572246 0.00000000000000000046164082246012
"xkdf" -3.65986848916863 5.44703173000303 300.779180414936 0.00000000000000000000758575047529825 0.00000000000000000050939030078465
"albf" -3.12935557670639 6.43653199586769 296.355323437232 0.00000000000000000000999200014635947 0.000000000000000000658546824460988
