"logFC" "logCPM" "F" "PValue" "FDR"
"srfad" -2.70850484967885 12.2795386981484 496.663312991542 0.000000000000000000000000515287900007656 0.00000000000000000000184679183362744
"srfac" -2.64183742933642 14.3264940431422 442.027032891957 0.0000000000000000000000049747927272981 0.0000000000000000000089148285673182
"srfab" -2.40840635489879 15.7129222936367 378.377657844136 0.0000000000000000000000988917677489283 0.000000000000000000118142698537386
"nark" -4.35448286375753 6.33733702349204 302.785311831511 0.00000000000000000000662742244387315 0.00000000000000000593817050971034
"alsd" -3.2106225442044 8.29534810140143 287.353044921938 0.0000000000000000000175112658584828 0.0000000000000000125520753673604
"alss" -3.23017957513224 9.3678742094074 281.978676115314 0.0000000000000000000248279818843473 0.0000000000000000148305811789168
"narh" -4.87723890321439 8.13938981332802 267.543333219035 0.0000000000000000000653177997825643 0.0000000000000000334427134886729
"nari" -5.10602063151245 9.64018763808015 253.023264857381 0.000000000000000000181090302943075 0.0000000000000000811284557184977
"narj" -5.0923689700772 7.35773511868934 239.319681829064 0.000000000000000000497036337762085 0.000000000000000183157337740356
"srft" -1.92819697060357 7.32907624469014 238.951701155872 0.000000000000000000511041678963048 0.000000000000000183157337740356
"srfaa" -2.15652316915496 15.4610030484148 233.23122598914 0.000000000000000000790916664449718 0.000000000000000257695029580708
"narg" -4.86595521570844 9.6671981252537 230.680634208429 0.000000000000000000963783877991239 0.000000000000000287850118226717
"albf" -2.83713679128984 6.4366180742297 229.532620709502 0.00000000000000000105410363654024 0.000000000000000290608264104633
"xkdg" -2.91129652320975 5.83887173110693 214.873077661825 0.00000000000000000342539653115634 0.000000000000000876901511976023
"albc" -2.03426191229248 7.06302507348022 211.9924216283 0.00000000000000000435238864870678 0.00000000000000103993072779767
"albe" -2.55489262657641 6.70291609121171 204.357302804358 0.00000000000000000832259061199302 0.00000000000000186426029708644
"ctad" -1.41315058595759 8.70365766556087 185.824810793088 0.0000000000000000438326232311381 0.00000000000000924094833296464
"lich" -2.85361905638396 8.12202293931305 180.332009674024 0.0000000000000000736232470072305 0.0000000000000146592065152175
"albd" -1.87021333668054 7.16393998828531 179.544548918476 0.0000000000000000793889567164618 0.0000000000000149752642564105
"appd" -2.10514211927463 7.65264960086801 175.298908678352 0.000000000000000119769864128119 0.0000000000000214627596517589
"alba" -1.88563300829618 8.79670366760967 162.223586112399 0.000000000000000447950307652852 0.0000000000000764501858394201
"yrbe" -1.95234212599494 6.493427340062 151.407029675709 0.00000000000000142477456616743 0.000000000000232108729324731
"albg" -3.13518130598762 5.59684191381625 148.185992032721 0.00000000000000203640260485984 0.000000000000317324649383377
"ctac" -1.50936492185146 7.09731100066049 146.490025113751 0.00000000000000246378658058205 0.000000000000353344561625177
"rbsa" -2.92745888721769 8.33906883425056 146.486610627315 0.00000000000000246473606044348 0.000000000000353344561625177
"cada" -2.0920445518541 8.13856558555583 138.953792561289 0.00000000000000586899195149218 0.00000000000080901796746723
"amhx" -1.53639822951873 7.96822554532446 138.430739746682 0.00000000000000624180401268095 0.000000000000828541688201797
"bglh" -2.21195516070482 7.15832639010775 136.002558564364 0.00000000000000832736944709828 0.00000000000106590328922858
"dppa" -1.58062511233041 7.8798729063494 135.380278543692 0.00000000000000897159415080382 0.00000000000110876529091313
"yxal" -1.28341725316036 8.28928250363601 131.783344722889 0.000000000000013873908795287 0.00000000000165746963741029
"xkdf" -2.51589475510894 5.44686611242047 131.248560010633 0.0000000000000148144145579737 0.00000000000171273747663799
"pela" -1.97603087853298 8.98272807701366 123.523837496281 0.0000000000000391136462619494 0.00000000000438072838133833
"xkde" -2.39962128646325 4.81267289352077 122.973140700336 0.0000000000000419894838744367 0.00000000000456031243048428
"copa" -1.99222610205535 9.3907699145503 122.011711263249 0.0000000000000475535729573086 0.00000000000501270604349983
"mtld" -2.342969504096 5.4910692941538 119.997299831623 0.0000000000000618668136593127 0.00000000000617587333638115
"cuti" 1.58197421290606 5.61876694036457 119.976714934148 0.0000000000000620344419949 0.00000000000617587333638115
"appf" -1.74246140614061 8.12618098592872 118.116313329903 0.0000000000000793349048994361 0.00000000000768476484215078
"rbsc" -2.87906782814674 7.81153041183366 117.887111817625 0.0000000000000817923070523198 0.00000000000771430601251353
"licc" -3.14458503932316 7.3263862873809 113.775217684348 0.000000000000142460983557991 0.0000000000130917991044062
"xkdk" -2.92981992103759 6.39111983325856 109.720904890321 0.000000000000249845752597632 0.0000000000223861794327479
"mtla" -2.34478135778967 5.53644741318595 109.180208717766 0.000000000000269591159707362 0.000000000023566212594907
"ctae" -1.31452373531649 6.79674385710566 108.981071990976 0.000000000000277269375214582 0.000000000023660320018311
"yebd" -2.16017875572365 5.25625125619134 107.204139490369 0.000000000000356825397769815 0.0000000000297409819908609
"yxjg" -0.951529647785165 8.31066670120396 100.029028630682 0.00000000000102011066338009 0.00000000008309265039896
"ywhl" -2.52228668863221 4.61356809143591 99.7655381943907 0.00000000000106130466070437 0.000000000084527020088099
"dppb" -1.6120449122241 7.97564869836569 94.569958562675 0.00000000000235296259302783 0.000000000183326476813299
"yera" -1.60868119662846 8.04505021941273 94.2747805024177 0.00000000000246409283595771 0.000000000187900185618563
"fnr" -2.23352980483993 6.36631399319657 94.0524627782591 0.00000000000255141461238083 0.000000000190505624391102
"cydd" -1.69550595122427 8.874866548949 93.5812241828662 0.00000000000274739801992333 0.000000000200952540885821
"cydc" -1.46924018739212 9.4764538853969 92.7137426171973 0.00000000000315053442698537 0.000000000223526768306764
"xkdm" -2.97487450832167 5.09052111922553 92.6534461887951 0.00000000000318076595525809 0.000000000223526768306764
"qcrb" -1.088318567174 8.16523501337054 91.8638783610129 0.00000000000360592053852152 0.000000000248531138655021
"kbl" -1.4150223463825 6.74454051004197 90.7097142573518 0.00000000000433758141344109 0.00000000029331871293911
"qcrc" -0.990913479606842 9.1095099961305 89.5307607976615 0.00000000000524728680098946 0.000000000348264368421227
"acuc" -1.22490280866731 6.49460555915548 88.5008836791604 0.00000000000620558372962115 0.000000000404378401581131
"mtlf" -2.22916484201302 3.48711022796051 87.8186049120864 0.00000000000694008100444943 0.000000000444165184284764
"dppc" -1.99817492903083 8.06621220224236 86.1729496504921 0.00000000000911205266554316 0.000000000572940293917661
"cutr" 1.73511596314909 5.06488711756823 86.0294187805932 0.00000000000933260144129354 0.00000000057669040630338
"csta" -1.26440256474931 7.35418100199484 84.4289161048753 0.0000000000122075261360018 0.000000000741555485956449
"bglp" -2.03644479950989 7.5701282943011 83.8068076785637 0.0000000000135632427715954 0.000000000810177701556634
"cutj" 1.63181384644522 6.29966878837504 82.0064451888023 0.000000000018451210571517 0.00000000108408424079208
"xkdi" -2.30915385919362 4.84300122056144 81.0673666720595 0.0000000000217033216194183 0.00000000125459201103218
"ykzl" -2.6628298108013 4.60080801486245 79.8064877453723 0.0000000000270426766153618 0.00000000153842782522947
"ctag" -1.127670697799 6.69668390858287 79.3432826088901 0.0000000000293355329335887 0.00000000164278984428097
"sigf" -1.55937998576676 9.64810005068963 77.9213573237677 0.0000000000377358111455113 0.00000000208069457146942
"rbsk" -1.88508698794282 7.58910960568163 75.3809484939305 0.0000000000596283731733702 0.00000000323800135535392
"urec" -1.48134981727933 8.65894550125668 75.2804480800047 0.0000000000607299857970049 0.00000000324860103129053
"xkdo" -1.65375552191836 6.50592374381442 74.6954369957743 0.0000000000675801398556691 0.00000000356187090062821
"yhzc" -2.45346881363731 6.55174387204994 73.8344279379138 0.0000000000791707930942377 0.00000000411229162970649
"ynen" -1.71930196491059 6.46456214236976 73.6580164421972 0.0000000000817926673711797 0.0000000041877845694044
"cydb" -1.09477557877128 9.21785928015314 73.0439099387286 0.0000000000916518931289596 0.00000000462648429541114
"csn" -1.28680619040532 6.63241819719275 72.5995069513817 0.0000000000995582528894615 0.00000000495578858827542
"rbsb" -2.50532039239849 7.60983054651937 72.2982522719698 0.000000000105321812943987 0.00000000517086818618149
"manp" -2.78058736991325 5.82346355330955 71.4631896394217 0.000000000123200266942856 0.00000000596688860436753
