"logFC" "logCPM" "F" "PValue" "FDR"
"yebE" -5.36511944321265 8.1329733842343 1335.42237585883 0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000132915925222415 0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000476636507847581
"ssuB" -6.36837548318168 6.98958910514943 1021.79388169881 0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000119910128759244 0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000214998860865325
"ssuD" -8.4013278477085 7.49966406737746 779.474155134622 0.000000000000000000000000000000000000000000000000000000000000000000000000000000000284289585041368 0.000000000000000000000000000000000000000000000000000000000000000000000000000000339820817319449
"ssuE" -6.79678691234048 5.30516231479462 760.315227331093 0.00000000000000000000000000000000000000000000000000000000000000000000000000000000355537487259096 0.0000000000000000000000000000000000000000000000000000000000000000000000000000031873935732778
"tauD" -7.93771854417672 8.06957720729643 755.192357353969 0.00000000000000000000000000000000000000000000000000000000000000000000000000000000704189638225301 0.00000000000000000000000000000000000000000000000000000000000000000000000000000505044808535186
"proX" 4.99391291737974 7.39864148902837 715.132840928687 0.00000000000000000000000000000000000000000000000000000000000000000000000000000166309104914094 0.000000000000000000000000000000000000000000000000000000000000000000000000000993974083703238
"gcvH" 5.05813005403765 7.62823996505915 663.609176320698 0.00000000000000000000000000000000000000000000000000000000000000000000000000262321990624638 0.00000000000000000000000000000000000000000000000000000000000000000000000134383808339993
"spy" -5.0081656267173 8.10294250836164 644.746054253922 0.0000000000000000000000000000000000000000000000000000000000000000000000000430317282180534 0.0000000000000000000000000000000000000000000000000000000000000000000000192889721737424
"acrD" -3.39859175495221 6.04362898393809 643.663961621525 0.0000000000000000000000000000000000000000000000000000000000000000000000000506104742337986 0.0000000000000000000000000000000000000000000000000000000000000000000000201654622891557
"lpxP" -4.08150692187015 7.48331470362639 638.859003728588 0.000000000000000000000000000000000000000000000000000000000000000000000000104251803084327 0.0000000000000000000000000000000000000000000000000000000000000000000000373846965860397
"gcvT" 5.42004215420014 8.72320970150382 614.686017641697 0.00000000000000000000000000000000000000000000000000000000000000000000000419266478542488 0.00000000000000000000000000000000000000000000000000000000000000000000136680872004851
"tauC" -9.96116590991771 7.95058278000844 603.840412123139 0.0000000000000000000000000000000000000000000000000000000000000000000000227290389056004 0.00000000000000000000000000000000000000000000000000000000000000000000679219445962358
"narK" -5.53983659930697 5.77190292491981 579.202586600541 0.00000000000000000000000000000000000000000000000000000000000000000000228093398395687 0.000000000000000000000000000000000000000000000000000000000000000000629186866651488
"mcbA" -7.3773217615863 8.08978998962655 574.287872079989 0.00000000000000000000000000000000000000000000000000000000000000000000253452166555964 0.00000000000000000000000000000000000000000000000000000000000000000064919962090692
"uxaA" -4.91503521523355 8.02156479653575 568.096514690364 0.00000000000000000000000000000000000000000000000000000000000000000000694790025761038 0.00000000000000000000000000000000000000000000000000000000000000000166101135491939
"cpxP" -5.27280864162697 10.0439180425192 560.432674364453 0.000000000000000000000000000000000000000000000000000000000000000000024459999316877 0.00000000000000000000000000000000000000000000000000000000000000000548209734689505
"proW" 4.65068014337807 6.92783943239608 556.44939156754 0.0000000000000000000000000000000000000000000000000000000000000000000472652148397319 0.00000000000000000000000000000000000000000000000000000000000000000997018002442815
"yhdN" -3.76458453151144 7.92039410346867 548.826733567416 0.000000000000000000000000000000000000000000000000000000000000000000168214152905057 0.0000000000000000000000000000000000000000000000000000000000000000335119973509742
"zntR" -3.40730388981749 7.36545358791996 541.132830581866 0.000000000000000000000000000000000000000000000000000000000000000000613120941722899 0.000000000000000000000000000000000000000000000000000000000000000115718510369385
"proV" 5.71524244693044 7.49953684318797 521.376220859205 0.0000000000000000000000000000000000000000000000000000000000000000179692123649072 0.00000000000000000000000000000000000000000000000000000000000000322187977702786
"yqjA" -2.74442077558536 7.46867696354397 511.495965800821 0.000000000000000000000000000000000000000000000000000000000000000100440502576318 0.0000000000000000000000000000000000000000000000000000000000000171514115351751
"pspG" -5.83147386193377 8.56855563980762 510.285608821476 0.000000000000000000000000000000000000000000000000000000000000000227580661658281 0.0000000000000000000000000000000000000000000000000000000000000370956478502998
"ynfM" -4.43854553933375 7.80082959912307 506.11002206381 0.000000000000000000000000000000000000000000000000000000000000000258997950308498 0.0000000000000000000000000000000000000000000000000000000000000403811586872293
"hokD" -4.78995870805169 9.36625141666452 480.488323565721 0.0000000000000000000000000000000000000000000000000000000000000257100533425297 0.00000000000000000000000000000000000000000000000000000000000384151047026298
"yncJ" -4.87088378426157 4.32907530599481 479.105931248401 0.0000000000000000000000000000000000000000000000000000000000000330949030785437 0.00000000000000000000000000000000000000000000000000000000000474713289758631
"yjfY" -5.63938964809331 6.78993853018966 470.934368279716 0.000000000000000000000000000000000000000000000000000000000000259161709413851 0.0000000000000000000000000000000000000000000000000000000000357443803830026
"htpX" -4.43370347792667 10.6689101992691 465.999858174044 0.00000000000000000000000000000000000000000000000000000000000037113343680586 0.0000000000000000000000000000000000000000000000000000000000477030252695281
"nirB" -5.16717558355226 8.20028007340795 465.980508630045 0.000000000000000000000000000000000000000000000000000000000000372472032221636 0.0000000000000000000000000000000000000000000000000000000000477030252695281
"narG" -3.3220136010847 7.17983261606794 463.149488545208 0.000000000000000000000000000000000000000000000000000000000000631398177056875 0.0000000000000000000000000000000000000000000000000000000000780756504457226
"yqfA" -3.50692693352569 8.35237319010916 461.19650371246 0.000000000000000000000000000000000000000000000000000000000000909784618975976 0.000000000000000000000000000000000000000000000000000000000108749588121595
