"logFC" "logCPM" "F" "PValue" "FDR"
"glcD" 6.06531768583397 6.3651556976647 870.54335641347 0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000336515146705164 0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000928358338785539
"pspG" 8.31463450455913 8.56866141076131 875.270201212681 0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000526131107274321 0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000928358338785539
"ykfB" 4.60038020548951 7.11781630543697 827.84081796821 0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000062888679206544 0.000000000000000000000000000000000000000000000000000000000000000000000000000000000739780496399646
"yaiY" 5.39578265503153 5.63108613905274 768.610596534254 0.00000000000000000000000000000000000000000000000000000000000000000000000000000000310659070920675 0.00000000000000000000000000000000000000000000000000000000000000000000000000000274078965319765
"pspD" 7.14830526008619 7.70300971741888 759.601781843261 0.00000000000000000000000000000000000000000000000000000000000000000000000000000000415060027219175 0.00000000000000000000000000000000000000000000000000000000000000000000000000000292949367211294
"pspB" 6.63207504704144 7.7414516504323 735.599032781441 0.000000000000000000000000000000000000000000000000000000000000000000000000000000105171766749487 0.0000000000000000000000000000000000000000000000000000000000000000000000000000618585274764899
"hokD" 6.21267663750432 9.36626281845525 729.08562953879 0.000000000000000000000000000000000000000000000000000000000000000000000000000000256209914810609 0.000000000000000000000000000000000000000000000000000000000000000000000000000129166398480948
"nrdD" 5.79697175390417 9.33573499082565 702.53573543911 0.0000000000000000000000000000000000000000000000000000000000000000000000000000102632677872412 0.00000000000000000000000000000000000000000000000000000000000000000000000000452738400264679
"glcE" 5.67676468691088 5.15994737918518 684.567152311067 0.000000000000000000000000000000000000000000000000000000000000000000000000000132100281399262 0.0000000000000000000000000000000000000000000000000000000000000000000000000517979881175552
"alaE" 6.09455668009328 6.74789212426943 670.542326885357 0.00000000000000000000000000000000000000000000000000000000000000000000000000100356569774089 0.000000000000000000000000000000000000000000000000000000000000000000000000354158334732761
"uhpT" 5.84200855049583 5.61241873635747 648.420767308325 0.0000000000000000000000000000000000000000000000000000000000000000000000000261550484788065 0.00000000000000000000000000000000000000000000000000000000000000000000000839101509833709
"relE" 5.76698271072396 9.25887035035185 638.939623159828 0.000000000000000000000000000000000000000000000000000000000000000000000000108363844469018 0.0000000000000000000000000000000000000000000000000000000000000000000000318680005942637
"pspC" 6.52908268091356 8.46634904399096 602.501667406366 0.0000000000000000000000000000000000000000000000000000000000000000000000294216845419638 0.00000000000000000000000000000000000000000000000000000000000000000000798685574989155
"zntR" 3.60003296281878 7.36553773814709 599.953411810312 0.0000000000000000000000000000000000000000000000000000000000000000000000439180593616346 0.000000000000000000000000000000000000000000000000000000000000000000011070487963372
"relB" 5.25845652592975 7.69892419026788 590.216294522267 0.00000000000000000000000000000000000000000000000000000000000000000000020517792109721 0.0000000000000000000000000000000000000000000000000000000000000000000482715255701369
"nupG" 3.88774161757567 6.25699544400066 580.225324216639 0.00000000000000000000000000000000000000000000000000000000000000000000101617518332612 0.000000000000000000000000000000000000000000000000000000000000000000224130138872367
"uxaB" 7.30415684709432 8.44909992946395 573.539778968698 0.00000000000000000000000000000000000000000000000000000000000000000000299560629923361 0.000000000000000000000000000000000000000000000000000000000000000000621852625293847
"yibH" 4.7539667486077 6.71990556434628 569.558214148604 0.00000000000000000000000000000000000000000000000000000000000000000000572623799223782 0.00000000000000000000000000000000000000000000000000000000000000000112266077081151
"ada" 4.03660557288187 6.93312632304231 561.447226483268 0.0000000000000000000000000000000000000000000000000000000000000000000216384147266779 0.00000000000000000000000000000000000000000000000000000000000000000401905081949718
"yhdN" 3.80796393788386 7.9204043523389 554.41059258357 0.0000000000000000000000000000000000000000000000000000000000000000000692902446044673 0.0000000000000000000000000000000000000000000000000000000000000000122262636604583
"yeeY" 3.82629300646278 7.14057701168768 553.488272558513 0.000000000000000000000000000000000000000000000000000000000000000000080768404760582 0.0000000000000000000000000000000000000000000000000000000000000000135729381142902
"uxaA" 4.55580822399249 8.02169271254809 547.306860603287 0.000000000000000000000000000000000000000000000000000000000000000000226630478333155 0.0000000000000000000000000000000000000000000000000000000000000000363535890017137
"dtpB" 3.758350259045 7.13601576730726 519.521226926863 0.0000000000000000000000000000000000000000000000000000000000000000258261075263539 0.00000000000000000000000000000000000000000000000000000000000000396262319393491
"uxuA" 4.17050928781953 7.73935448318827 534.674644197138 0.000000000000000000000000000000000000000000000000000000000000000049631989337561 0.00000000000000000000000000000000000000000000000000000000000000729797043217719
"rspA" 9.53922163689817 9.59250610545306 513.838704482126 0.0000000000000000000000000000000000000000000000000000000000000000694327599456978 0.00000000000000000000000000000000000000000000000000000000000000980112839393469
"yebW" 4.78475135458585 6.48709065389702 512.453598319492 0.0000000000000000000000000000000000000000000000000000000000000000884557469307292 0.0000000000000000000000000000000000000000000000000000000000000120061665737901
"pspE" 5.70109773739016 8.87596494623514 511.484403593473 0.000000000000000000000000000000000000000000000000000000000000000104814350400436 0.0000000000000000000000000000000000000000000000000000000000000136996237986347
"guaC" -4.63101670429151 7.99093277989106 509.742297247725 0.000000000000000000000000000000000000000000000000000000000000000142270424135991 0.0000000000000000000000000000000000000000000000000000000000000179311545277111
"xylA" 4.00036087260545 7.20169797955318 502.913687427393 0.000000000000000000000000000000000000000000000000000000000000000474356415406731 0.0000000000000000000000000000000000000000000000000000000000000560080591280888
"alkB" 3.94299354117675 4.72181926718827 502.892688730997 0.000000000000000000000000000000000000000000000000000000000000000476124050394634 0.0000000000000000000000000000000000000000000000000000000000000560080591280888
"bssR" 9.53300037743832 10.5530501438318 500.564826127479 0.000000000000000000000000000000000000000000000000000000000000000719555748127187 0.0000000000000000000000000000000000000000000000000000000000000819132979077691
"uidA" 4.92592386750489 5.8022946949181 499.681702069015 0.000000000000000000000000000000000000000000000000000000000000000841867651221088 0.0000000000000000000000000000000000000000000000000000000000000928422169112256
"nrdG" 4.0231761745864 5.01219854951171 494.338419892055 0.00000000000000000000000000000000000000000000000000000000000000218488512828455 0.000000000000000000000000000000000000000000000000000000000000233650291445945
"yfbV" 3.71043799624462 7.84814862745018 492.45448496123 0.00000000000000000000000000000000000000000000000000000000000000306302289440213 0.000000000000000000000000000000000000000000000000000000000000317923758657209
"yjdN" 5.76363424734031 8.40026453615007 489.87397749028 0.00000000000000000000000000000000000000000000000000000000000000487201523505039 0.000000000000000000000000000000000000000000000000000000000000491238336128367
"yeiQ" 4.00531396502153 6.55894390908552 479.422883202266 0.0000000000000000000000000000000000000000000000000000000000000324383663625597 0.00000000000000000000000000000000000000000000000000000000000317986096926314
"mcbA" 6.27588929677058 8.08984763817494 479.252166825822 0.0000000000000000000000000000000000000000000000000000000000000334659375543426 0.00000000000000000000000000000000000000000000000000000000000319192685484527
"macB" 4.07943219850494 8.58276803226324 478.373170973846 0.0000000000000000000000000000000000000000000000000000000000000392995949854899 0.00000000000000000000000000000000000000000000000000000000000364969133431037
"gcvT" -4.76637045799074 8.72313238721088 470.838126198023 0.000000000000000000000000000000000000000000000000000000000000157029811181482 0.0000000000000000000000000000000000000000000000000000000000142091847092167
"ycjX" 4.46082022402029 8.97844335309951 470.138508244728 0.000000000000000000000000000000000000000000000000000000000000178709755468306 0.0000000000000000000000000000000000000000000000000000000000157666681761913
"lsrG" 7.14870257069827 6.63559535999483 468.142364899372 0.000000000000000000000000000000000000000000000000000000000000258637975651294 0.000000000000000000000000000000000000000000000000000000000022261790635937
