"logFC" "logCPM" "F" "PValue" "FDR"
"fimA" 3.00640600508017 9.02212427040802 207.902506825966 0.0000000000000000000000000000000000289214804727372 0.0000000000000000000000000000000159357357404782
"fes" 3.42364198170854 8.30145449938564 185.921681453446 0.0000000000000000000000000000000118094208023426 0.00000000000000000000000000000325349543104538
"zinT" 9.94383103833612 10.2364945417883 168.250704393377 0.00000000000000000000000000000259891276384245 0.000000000000000000000000000477333644292397
"fecI" 3.04760379053085 7.61043522231998 167.002292400718 0.0000000000000000000000000000038358891947352 0.000000000000000000000000000528393736574774
"betI" 2.41385493007791 5.5155024921843 163.476879873239 0.0000000000000000000000000000115866409319588 0.00000000000000000000000000127684783070186
"fhuE" 3.74768853000822 8.31286551589693 150.054252662147 0.000000000000000000000000000848373326408234 0.0000000000000000000000000779089504751561
"pliG" 4.81234744200069 8.05175618173861 147.708743047584 0.00000000000000000000000000182212893871781 0.000000000000000000000000143427577890502
"nrdE" 3.69194831101014 9.70514577784869 143.281450352811 0.00000000000000000000000000780545111258032 0.00000000000000000000000053760044537897
"znuA" 5.0389446468023 11.2988781423056 141.923035191961 0.0000000000000000000000000122357156251267 0.000000000000000000000000749097701049422
"sufA" 2.60789833885653 7.79271115767457 137.886955588368 0.0000000000000000000000000469417035155834 0.00000000000000000000000258648786370865
"cirA" 5.38487702652903 11.3996633893327 125.318710984199 0.00000000000000000000000337371119397569 0.000000000000000000000168992260716419
"ybiX" 3.17885455476045 7.32986207208382 123.557090224937 0.00000000000000000000000621016106853061 0.00000000000000000000028514989573003
"entH" 3.08064730283118 7.60006989100382 120.970986132712 0.0000000000000000000000152866716233741 0.000000000000000000000647919697267625
"yncE" 3.39837422327583 10.0357078523218 120.397812308903 0.0000000000000000000000186799265652823 0.000000000000000000000735188538390752
"mepM" 2.97834246821118 9.35641204024797 114.453511232632 0.000000000000000000000152065008448035 0.00000000000000000000524043401959712
"entE" 3.45087583513184 9.66532565258843 114.451527108256 0.000000000000000000000152172312728773 0.00000000000000000000524043401959712
"yliE" 3.40288719529822 3.76304656330033 110.405034392008 0.00000000000000000000064639073164754 0.0000000000000000000208899145377182
"entF" 3.85087394188047 10.5465612564922 110.254097287592 0.000000000000000000000682429150052499 0.0000000000000000000208899145377182
"fepA" 4.07648820634759 10.5615814568468 108.458616839422 0.00000000000000000000130340822870155 0.000000000000000000037798838632345
"entB" 3.39549004358428 8.9262476099935 106.914964034448 0.00000000000000000000227918049120316 0.000000000000000000062791422532647
"yqhD" 1.47580655082866 6.36101372572911 101.607304724084 0.0000000000000000000158522717454231 0.000000000000000000415933415796577
"sdhC" -3.45764041635727 7.80450882731109 98.559185724162 0.0000000000000000000489112883025301 0.00000000000000000122500544794064
"sufS" 2.20634995580606 8.80890926493013 88.000319443315 0.00000000000000000261331805258927 0.000000000000000062606010738117
"fepB" 1.72993843242523 7.09692934071175 83.580147180591 0.0000000000000000143270461861324 0.00000000000000032892510202329
"rhlE" -1.69269897817157 6.78746611165176 82.0428883030585 0.0000000000000000260256905823989 0.000000000000000573606220436073
"sufD" 2.12393495087538 9.01889754247011 81.6835538166706 0.0000000000000000299343962859862 0.000000000000000634378936676091
"dcuA" 1.1823362213646 8.05937301599781 80.4021135301086 0.0000000000000000493634979886653 0.00000000000000100738101450943
"ompT" 2.30852626087302 10.0938751808028 79.3023185883877 0.0000000000000000759465975725931 0.00000000000000149452054508924
"mgsA" 1.17813398119959 6.87029461168797 77.296017437541 0.000000000000000167269596340958 0.00000000000000317812233047821
"fiu" 3.44141364632378 10.7747182538849 75.3299275735171 0.000000000000000364305400587352 0.00000000000000669107585745436
"mntH" 2.68019629165563 11.0084851626129 68.5165683982797 0.00000000000000560750465454895 0.0000000000000996688730534346
"sdhA" -2.46867124196847 9.28935952382957 67.4762799191012 0.0000000000000085558809958371 0.00000000000014732157589707
"mqo" -1.61658362209873 9.27673651863698 62.4160903870141 0.000000000000068150227980868 0.00000000000113790229143813
"ilvC" 2.09216252998951 7.72281380183642 56.1661075511265 0.000000000000926903783291989 0.0000000000150212936645261
"fhuA" 1.37148981806051 9.70600824077792 56.0218570913457 0.000000000000985084240915621 0.0000000000155080404784145
"nlpA" 2.69469890006939 6.99025116767395 51.6286780894066 0.00000000000638010535552541 0.0000000000976510569692917
"yigI" -1.41885286453547 5.18346215744806 50.0006991951798 0.0000000000128404221828302 0.000000000191218178992957
"tyrA" 4.14564431176723 10.5283225679257 49.7071852895454 0.0000000000145721987606798 0.000000000211296882029857
"nepI" -1.10478235419194 5.06988248569427 49.1767760695528 0.0000000000183214308668708 0.00000000025884893352938
"aroF" 4.50253265460578 11.2077099628107 48.9718273777742 0.0000000000200184103064838 0.000000000275753601971814
"rbbA" 1.04520619977784 6.95964099224417 48.4660578594302 0.0000000000249162859528645 0.000000000334850574634837
"fhuF" 1.45896751750475 10.0887833412865 48.3414186150975 0.0000000000262986598196441 0.000000000345013370491045
"dtpA" -1.58527803524862 7.78522604053203 48.0480873414643 0.0000000000298650260998919 0.000000000382689055373034
"galM" 0.956829365663007 8.07936206136283 47.6879873221726 0.0000000000349173444401963 0.000000000437260381512458
"livK" 1.3631667881253 6.32027252516774 46.4068491421534 0.000000000060986288389236 0.000000000746743220054867
